,mean_abs_shap
dest_club_tier,0.4377476
career_minutes,0.4221161
age,0.21157008
international_caps,0.1512858
red_card_count_season,0.12138131
age_peak_delta,0.05374764
minutes_last_5,0.052605577
height_in_cm,0.049939424
days_at_current_club,0.041312452
foot_encoded,0.025089538
starter_rate,0.017498683
assists_per_90_roll10,0.017110199
injury_sub_flag_last_5,0.014010712
goals_per_90_roll10,0.012795934
cards_per_90,0.0069812937
sub_out_rate,0.0064856526
days_since_last_injury_sub,0.006088647
days_since_last_card,0.005977316
performance_trend,0.0055718753
goal_involvement_last_10,0.0055209785
days_since_last_goal,0.0047778743
assists_per_90_roll5,0.0022123957
goals_last_10,0.0015948848
days_since_last_goal_event,0.0012309018
goals_per_90_roll5,0.00080498913
assists_per_90,0.00047449296
goals_per_90,0.00047027192
goals_last_5,8.752295e-05
