,mean_abs_shap
log_target,1.1683619
career_minutes,0.036381487
days_at_current_club,0.017537642
dest_club_tier,0.014761799
age,0.009389875
minutes_last_5,0.008556668
age_peak_delta,0.00490243
starter_rate,0.0047307205
international_caps,0.0040045404
red_card_count_season,0.0025531068
goals_per_90_roll10,0.0014612861
goal_involvement_last_10,0.0008399283
assists_per_90_roll10,0.0007354621
goals_last_10,0.0007053807
injury_sub_flag_last_5,0.00068063394
height_in_cm,0.0006349353
days_since_last_goal,0.00037728474
foot_encoded,0.00035655423
goals_last_5,0.0002340006
days_since_last_goal_event,0.00019934007
sub_out_rate,0.0001909068
performance_trend,0.00016900312
goals_per_90_roll5,0.00011244958
assists_per_90_roll5,8.2781975e-05
goals_per_90,6.703973e-05
days_since_last_injury_sub,6.266441e-05
days_since_last_card,5.5248158e-05
assists_per_90,2.591136e-05
cards_per_90,1.221744e-05
