,mean_abs_shap
dest_club_tier,0.2875617
age,0.2708504
minutes_last_5,0.24929622
international_caps,0.19364709
career_minutes,0.14927074
starter_rate,0.11527541
height_in_cm,0.07827674
age_peak_delta,0.07074143
foot_encoded,0.05594878
days_at_current_club,0.031096376
days_since_last_card,0.015322054
sub_out_rate,0.013141721
red_card_count_season,0.011436182
days_since_last_injury_sub,0.004683389
days_since_last_goal,0.004612649
cards_per_90,0.0016559601
assists_per_90_roll10,0.0013332944
days_since_last_goal_event,0.0013278192
goal_involvement_last_10,0.00062187604
injury_sub_flag_last_5,0.0003243723
assists_per_90_roll5,0.00013294359
assists_per_90,2.232971e-05
performance_trend,0.0
goals_last_10,0.0
goals_per_90_roll10,0.0
goals_per_90_roll5,0.0
goals_per_90,0.0
goals_last_5,0.0
