,mean_abs_shap
career_minutes,0.50598305
dest_club_tier,0.4755637
age,0.2228702
international_caps,0.20250721
red_card_count_season,0.11463486
age_peak_delta,0.055118274
height_in_cm,0.042530574
days_at_current_club,0.042529665
foot_encoded,0.04096935
assists_per_90_roll10,0.037631195
minutes_last_5,0.0329457
starter_rate,0.021504022
goals_per_90_roll10,0.014877322
cards_per_90,0.010079614
days_since_last_injury_sub,0.009244206
days_since_last_goal,0.008292722
sub_out_rate,0.0061200187
performance_trend,0.005704846
assists_per_90_roll5,0.005062542
injury_sub_flag_last_5,0.004815602
goal_involvement_last_10,0.0042725885
goals_last_10,0.0035741387
goals_per_90_roll5,0.0023529576
days_since_last_card,0.0021876222
days_since_last_goal_event,0.0016752912
goals_per_90,0.0014100478
assists_per_90,0.0011027143
goals_last_5,0.00036181428
